Address,Balance,Share
0x0e293a9e57d22f6ec575b376e3e3bd8e642fd5fc,12399651.86545679,0.12
0x299bf2ed3f500deca7714ee91311ebb824e7ecff,13675729.843642617,0.14
0xc81f87ed5f6df1de85ef99837dbe18676bf1804c,16500000,0.17
0xe5260d64263ca006559de6e940248a45c02bd979,15000000,0.15
0xeb63b251f2136838f63add47110178301a25dcf3,10001461.999999998,0.1
0x4ca186e418f9068aa016b1f2c36db142b20af39d,10000083.299999999,0.1
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,11459136.464519622,0.11
0xf46d0782bbed18f9f1eccd705c46c9cd2d26e336,14000000,0.14
0xf73c3c65bde10bf26c2e1763104e609a41702efe,8400005,0.08
0x005d64b3fedd6d53edf19142087d51c7ac6ba595,8320659.7,0.08
0x3ec9a449a41732b7091dd90209b701e531710212,9995000,0.1
0x0120e4437b3cec21261b823cb5e12f54bcd188cc,11086000,0.11
0x22c6a17c9d68d0d8cb057435ab087943a62acbbd,6946968.000000001,0.07
0xe31eea6163c7fe20b0bdfa58f74f4d3f8c3e666f,8566056.138,0.09
0x583f38ae30b98d6bcc4059978149e5b01a8c0c8d,8161762.37682331,0.08
0xbc0d88c18c5640e218c1448e63552bd8ca2a7fb8,7265674.534,0.07
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,420050174.66070783,4.2
0xba826fec90cefdf6706858e5fbafcb27a290fbe0,6857894.443167127,0.07
0x6d635929af13f0493a03fda410e859cfac711bba,5483995.3,0.05
0x90e1f595abc8d731cf82031c974add334b84b29e,8100190.573038415,0.08
0x203aa5f63b0f4d1a1308ec559a933d1280af1c5b,5650000,0.06
0xfa4bbdc751db6cf5f03f3352b15a89f0ed573887,5400110,0.05
0x5c985e89dde482efe97ea9f1950ad149eb73829b,84716639.11344203,0.85
0x6c48199aad78a92ed0e41af3a968a508afa30dd7,5000000,0.05
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,6066682.9574,0.06
0xfb371364bb3553f2107b65341e5013ce278db5c5,5000000,0.05
0xffb0d04ec8e7207339b83d6ac17e075db3b85d8a,4833895.281923069,0.05
0x001866ae5b3de6caa5a51543fd9fb64f524f5478,50000000,0.5
0xcb0787fb5e369d6da92b27c610aca0587979a41d,5193604.384432345,0.05
0x7960c3d826d6114446af1839b63c35425b3b0fc8,4461600,0.04
0x26b8879b38bd665e789249bafb2fdd662d5266f5,4200543.618454425,0.04
0x19e5e9cd238b9a2eb122a7ab9f38e687c5da3f86,4707558.8,0.05
0x51e7d0b46aeb928029ab5bf4db9d62d6def152f4,30000000,0.3
0x96cf5ca9a9e216c9f4a3a5a1f76c34e043598b09,4747112.109999999,0.05
0x471acd86f5685c6a57af098809a05d63bb46e55b,22700000,0.23
0xacb8678275c26028a9598ac31a2160eb2bed7fb4,4025442.31454696,0.04
0xb827425677ebbb887474f9180ec3f31d9ee079ba,4024226,0.04
0xb7245392a79401a8b8f412417a121deca3621eb2,20000000,0.2
0x742d35cc6634c0532925a3b844bc454e4438f44e,4095666.08715,0.04
0x8bc427033346be192a24eafff24e5c55d1d86c7a,15000100,0.15
0xc5430f88d850f3384c30e55200e60c52b84f3914,3713577.71,0.04
0xa80fafb0e0945cee5a390914c37b90bec43b59ad,4199999,0.04
0xe94e6bfe1269c7625fae3ffcf8d8af8d9b877208,13000000,0.13
0x6fea170eecdf3738a0652aef50840ecbcf70bd68,3678289,0.04
0x68099856e48af5d857e4e9b736f09dc219d7e78d,4000000.5,0.04
0x1e62b55a78fab61b90d6625403b6a4928ac0cbee,10000800,0.1
0x4cb21fb37b998c904dcd31f0e655dc2514156687,4000800,0.04
0xf05cc7e5affeee6e810c04232d7ad73af70697e0,3179614.582,0.03
0xd224eadbf019342a6f8014b9d58e3d78333d5109,8400000,0.08
0x7575d776e0a2c742342b70f1c4b9251f3deabb47,3150000,0.03
0x9fe046382f3a11879641525c0a280229e96a3973,3500000,0.04
0x3e4a7b48c03636dc9f5da7c3d54bf8326f02c8e0,7049089.03,0.07
0x3b55cbf4aa63e0df43d987e7f198e9a7e2a52aba,3510957.5130000003,0.04
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,5532554.599343387,0.06
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,3083476.8390924702,0.03
0xabed601b8b93340856fd510aa177f8c076eb5aba,3061944.6706000003,0.03
0x914596aa5df4693a642f372def286b7f976817fd,5000000,0.05
0x4039cbd7debcd6965145854d35a3fccdc51b1b45,3135685.468762,0.03
0x34872874b65e12408ec0265e9cf0a35fa6c8d13e,3140105.82383062,0.03
0xe7e253c155c7a6ff309fdac9d5a5932005c5a328,4671156.9,0.05
0xea952e8534499d06713a6eecd0d891b00408a893,2940124,0.03
0x30d515d6d605ab688efb22250ca88c5f50246275,4038701.0784,0.04
0xe863abad2c1ef6db6a72d3647e2d1e19315dff2a,2930000,0.03
0xf941ade0f7b5f935d74f2f2df65c8410ebd9024b,2976929.9,0.03
0x0713888a676faab79799e9362bd81e4ebdef282c,3875262,0.04
0xab5c66752a9e8167967685f1450532fb96d5d24f,3010061.27714352,0.03
0x6775bbf2d7b5a777e416b0e02b4ac161ed2d3e3c,3210988.1999999997,0.03
0xa6017b5e17c20a80d8a9e607239341c63dcab66f,2500000,0.03
0x9fa7e546c208229b9b0d92515851b362161da987,2500000,0.03
0xe5fd4cac4e47254be7bd89dca15799ec7bbefaad,2625242.6868100106,0.03
0x892da357d355e8816ab5fdfab89801e932606dfe,2625000,0.03
